time,bytetime,press,count,key,stimDur,Bias,sequence
1.0335869789123535,1022,[1],5,[2],0.2,0.12,"[-1. -1.  1. -1. -1. -1. -1. -1. -1. -1.  1.  1. -1.  1.  1. -1. -1. -1.
 -1. -1.  1. -1.  1.  1. -1. -1.  1. -1. -1. -1.]"
0.866703987121582,848,[1],4,[2],0.2,0.12,"[-1. -1. -1.  1. -1. -1. -1. -1. -1. -1.  1. -1. -1. -1. -1. -1. -1. -1.
  1.  1. -1.  1. -1.  1. -1. -1. -1.  1. -1. -1.]"
2.3154079914093018,2298,[1],11,[2],0.2,0.12,"[-1. -1.  1.  1. -1.  1.  1. -1. -1. -1. -1. -1.  1. -1.  1. -1. -1. -1.
  1.  1.  1.  1.  1.  1. -1. -1.  1.  1.  1.  1.]"
1.0500290393829346,1028,[1],5,[2],0.2,0.12,"[-1. -1. -1. -1.  1. -1. -1.  1. -1. -1. -1. -1. -1. -1.  1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1.  1. -1. -1. -1. -1.  1.]"
1.1998980045318604,1184,[1],5,[2],0.2,0.12,"[-1.  1. -1. -1. -1.  1.  1. -1. -1.  1. -1. -1. -1.  1.  1. -1. -1.  1.
 -1. -1.  1. -1. -1.  1. -1. -1. -1. -1.  1.  1.]"
1.1000089645385742,1084,[1],5,[5],0.2,0.12,"[ 1.  1. -1.  1. -1. -1.  1. -1.  1.  1. -1.  1. -1. -1.  1.  1. -1.  1.
  1.  1.  1.  1. -1.  1. -1.  1. -1. -1.  1.  1.]"
2.0833230018615723,2074,[1],10,[2],0.2,0.12,"[-1. -1.  1.  1.  1. -1. -1. -1. -1.  1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1.  1.  1.  1.  1.  1. -1. -1.  1.  1. -1. -1.]"
2.3180060386657715,2304,[1],11,[2],0.2,0.12,"[-1.  1. -1. -1.  1.  1. -1. -1. -1.  1. -1.  1. -1. -1. -1.  1. -1.  1.
 -1.  1. -1. -1. -1. -1. -1. -1. -1. -1.  1. -1.]"
2.6166319847106934,2589,[1],13,[5],0.2,0.12,"[ 1.  1. -1. -1.  1.  1. -1.  1.  1.  1.  1.  1.  1. -1. -1. -1.  1.  1.
 -1.  1. -1.  1.  1.  1.  1. -1. -1.  1.  1. -1.]"
2.916508913040161,2907,[1],14,[2],0.2,0.12,"[-1.  1. -1.  1.  1. -1.  1. -1.  1. -1. -1. -1. -1.  1. -1. -1.  1.  1.
  1. -1. -1.  1. -1. -1. -1. -1. -1. -1.  1. -1.]"
1.066676139831543,1044,[1],5,[2],0.2,0.12,"[-1. -1. -1.  1. -1. -1. -1.  1. -1. -1. -1. -1. -1. -1.  1. -1.  1. -1.
 -1. -1.  1.  1. -1.  1.  1. -1. -1. -1. -1. -1.]"
1.7333309650421143,1714,[1],8,[5],0.2,0.12,"[ 1. -1. -1.  1.  1.  1. -1.  1.  1.  1.  1. -1. -1. -1. -1.  1.  1. -1.
  1.  1. -1.  1.  1. -1.  1.  1.  1.  1.  1.  1.]"
0.9166860580444336,901,[1],4,[2],0.2,0.12,"[-1. -1. -1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1.  1.  1. -1.  1.  1.
 -1. -1. -1.  1. -1.  1. -1. -1. -1. -1.  1. -1.]"
1.4333281517028809,1424,[1],7,[5],0.2,0.12,"[ 1.  1. -1. -1.  1.  1. -1.  1. -1.  1. -1.  1. -1.  1.  1.  1.  1. -1.
  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.]"
1.1333379745483398,1124,[1],5,[5],0.2,0.12,"[ 1.  1.  1.  1.  1. -1. -1.  1.  1.  1. -1.  1. -1. -1. -1. -1. -1.  1.
  1. -1. -1. -1. -1.  1.  1. -1.  1.  1. -1.  1.]"
1.3166871070861816,1300,[1],6,[5],0.2,0.12,"[ 1. -1.  1.  1.  1. -1.  1. -1.  1.  1.  1.  1. -1.  1.  1.  1. -1. -1.
 -1.  1.  1. -1. -1.  1.  1. -1. -1. -1.  1.  1.]"
2.1153810024261475,2092,[1],10,[5],0.2,0.12,"[ 1. -1.  1.  1. -1.  1.  1.  1.  1.  1. -1.  1.  1.  1. -1. -1.  1.  1.
  1.  1. -1.  1.  1.  1.  1.  1.  1. -1. -1.  1.]"
1.4665329456329346,1462,[1],7,[2],0.2,0.12,"[-1. -1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.  1. -1. -1.
  1.  1. -1. -1. -1.  1. -1. -1.  1.  1.  1. -1.]"
1.849998950958252,1833,[1],9,[5],0.2,0.12,"[-1.  1.  1. -1.  1.  1. -1.  1.  1.  1.  1. -1. -1.  1.  1. -1. -1.  1.
  1.  1.  1.  1.  1.  1. -1.  1.  1. -1. -1. -1.]"
2.7348101139068604,2721,[1],13,[5],0.2,0.12,"[ 1. -1. -1. -1.  1. -1. -1.  1.  1. -1.  1.  1.  1. -1. -1. -1.  1. -1.
  1. -1.  1. -1.  1.  1.  1.  1. -1. -1.  1.  1.]"
2.0666849613189697,2050,[1],10,[5],0.2,0.12,"[ 1. -1.  1.  1. -1.  1.  1.  1.  1. -1. -1. -1.  1. -1. -1. -1.  1.  1.
  1. -1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.]"
2.2318758964538574,2221,[1],11,[2],0.2,0.12,"[-1.  1.  1.  1.  1. -1. -1. -1. -1. -1.  1.  1. -1. -1. -1.  1. -1.  1.
  1. -1.  1.  1.  1.  1.  1. -1.  1. -1.  1.  1.]"
1.4999089241027832,1475,[1],7,[2],0.2,0.12,"[ 1. -1. -1. -1. -1. -1. -1. -1. -1.  1. -1.  1. -1. -1. -1. -1. -1.  1.
 -1. -1. -1. -1. -1. -1.  1.  1.  1.  1. -1. -1.]"
1.666679859161377,1642,[1],8,[2],0.2,0.12,"[-1. -1.  1. -1. -1. -1.  1. -1. -1. -1. -1. -1.  1.  1. -1.  1. -1. -1.
 -1.  1.  1.  1. -1.  1. -1.  1. -1.  1. -1.  1.]"
